Transaction ID,Transaction Date Time,Transaction Amount,Payment Method,Account Number,Account Name
TXN0001,2024-09-18 09:04:37,220.49,Net Banking,ACC1412467684,Account-830
TXN0002,2024-09-23 16:13:37,4816.33,UPI,ACC8675059051,Account-926
TXN0003,2024-10-01 01:34:37,2422.37,UPI,ACC3525539512,Account-876
TXN0004,2024-09-25 02:47:37,3061.94,UPI,ACC6646852898,Account-388
TXN0005,2024-09-05 15:49:37,214.45,Debit Card,ACC1616342330,Account-559
TXN0006,2024-09-11 13:12:37,3936.85,UPI,ACC9868653131,Account-769
TXN0007,2024-10-01 11:33:37,3671.03,Bank Transfer,ACC3978622277,Account-795
TXN0008,2024-09-08 18:22:37,2550.57,UPI,ACC6680798270,Account-979
TXN0009,2024-09-21 23:52:37,3346.5,UPI,ACC9729521979,Account-777
TXN0010,2024-09-21 05:48:37,4886.19,Bank Transfer,ACC6843313130,Account-227
TXN0011,2024-09-14 04:21:37,1948.29,Bank Transfer,ACC8353071970,Account-272
TXN0012,2024-09-13 09:18:37,3628.81,Debit Card,ACC1433688979,Account-488
TXN0013,2024-09-13 04:47:37,1564.56,Net Banking,ACC1853945042,Account-288
TXN0014,2024-09-28 07:20:37,4642.13,Debit Card,ACC4415283712,Account-312
TXN0015,2024-09-18 22:00:37,2020.45,Bank Transfer,ACC5965971243,Account-190
TXN0016,2024-09-18 11:14:37,1094.09,UPI,ACC9352361891,Account-690
TXN0017,2024-09-10 17:06:37,2607.98,Debit Card,ACC2934868356,Account-888
TXN0018,2024-09-26 04:06:37,2081.91,Net Banking,ACC1558847865,Account-259
TXN0019,2024-09-29 03:02:37,3609.15,Net Banking,ACC4915583604,Account-856
TXN0020,2024-09-18 20:59:37,566.51,Bank Transfer,ACC7659804782,Account-198
TXN0021,2024-09-10 19:04:37,1545.18,UPI,ACC2802212641,Account-936
TXN0022,2024-09-05 13:41:37,1155.87,Credit Card,ACC3130760249,Account-930
TXN0023,2024-09-13 14:24:37,4646.49,Credit Card,ACC6246843559,Account-390
TXN0024,2024-09-13 07:27:37,2163.76,Credit Card,ACC9002026327,Account-126
TXN0025,2024-09-11 13:04:37,4885.17,Net Banking,ACC8761119136,Account-869
TXN0026,2024-09-03 23:29:37,3912.73,Net Banking,ACC1465920778,Account-196
TXN0027,2024-09-14 00:51:37,1045.39,Credit Card,ACC9031307811,Account-428
TXN0028,2024-09-11 14:18:37,462.26,UPI,ACC1634960412,Account-581
TXN0029,2024-09-19 01:15:37,2518.99,Bank Transfer,ACC9854756778,Account-200
TXN0030,2024-09-14 14:50:37,2958.79,Bank Transfer,ACC8599503676,Account-265
TXN0031,2024-09-06 23:05:37,2968.05,Debit Card,ACC7208656774,Account-563
TXN0032,2024-09-15 03:29:37,4850.77,Debit Card,ACC5124781904,Account-937
TXN0033,2024-09-22 19:29:37,927.49,UPI,ACC9476218974,Account-588
TXN0034,2024-10-02 04:13:37,3915.54,Bank Transfer,ACC4293564958,Account-950
TXN0035,2024-09-29 15:10:37,2434.01,Net Banking,ACC2450184053,Account-973
TXN0036,2024-09-03 10:31:37,2123.46,Bank Transfer,ACC7834972072,Account-875
TXN0037,2024-09-04 01:22:37,866.01,Bank Transfer,ACC4580366314,Account-754
TXN0038,2024-09-27 23:44:37,1510.36,Debit Card,ACC7200568994,Account-840
TXN0039,2024-09-13 01:14:37,1767.39,Debit Card,ACC7033565449,Account-125
TXN0040,2024-09-14 06:54:37,4167.92,UPI,ACC8002691870,Account-705
TXN0041,2024-09-22 02:57:37,3097.8,Bank Transfer,ACC2713418287,Account-331
TXN0042,2024-09-28 04:39:37,1291.05,Net Banking,ACC8296394485,Account-211
TXN0043,2024-09-25 15:38:37,1730.66,Credit Card,ACC2357071031,Account-116
TXN0044,2024-09-07 02:42:37,1592.18,Debit Card,ACC1114297569,Account-426
TXN0045,2024-09-24 06:47:37,1025.33,Credit Card,ACC5382877562,Account-638
TXN0046,2024-10-01 18:08:37,2464.21,Credit Card,ACC1061107629,Account-887
TXN0047,2024-09-08 20:48:37,1691.26,Bank Transfer,ACC6323858688,Account-850
TXN0048,2024-09-20 23:22:37,3860.17,Credit Card,ACC6167902028,Account-801
TXN0049,2024-09-22 04:15:37,1976.48,Net Banking,ACC8696241118,Account-924
TXN0050,2024-09-19 14:28:37,2193.42,Debit Card,ACC4517811248,Account-673
TXN0051,2024-09-05 03:37:37,333.63,Net Banking,ACC9650958811,Account-127
TXN0052,2024-09-05 15:57:37,2106.13,Net Banking,ACC7953595755,Account-925
TXN0053,2024-09-06 18:45:37,2850.17,Credit Card,ACC1474057267,Account-653
TXN0054,2024-09-16 11:38:37,3122.61,Debit Card,ACC3208016672,Account-320
TXN0055,2024-09-29 01:50:37,607.14,UPI,ACC9532948833,Account-215
TXN0056,2024-09-07 20:34:37,3272.77,Net Banking,ACC4508784778,Account-569
TXN0057,2024-09-03 16:08:37,3350.69,UPI,ACC3915474094,Account-521
TXN0058,2024-09-26 16:17:37,2909.81,Net Banking,ACC6796348626,Account-956
TXN0059,2024-09-11 18:07:37,2350.81,UPI,ACC3969066989,Account-437
TXN0060,2024-09-21 23:31:37,4224.55,Net Banking,ACC3061880055,Account-637
TXN0061,2024-09-09 05:07:37,2702.73,Credit Card,ACC3002567137,Account-771
TXN0062,2024-09-27 10:30:37,2850.8,Net Banking,ACC4755615743,Account-352
TXN0063,2024-09-19 17:27:37,311.74,Bank Transfer,ACC5506929185,Account-157
TXN0064,2024-09-16 08:18:37,642.22,Bank Transfer,ACC8521123192,Account-567
TXN0065,2024-09-08 02:10:37,1142.13,UPI,ACC7354629259,Account-597
TXN0066,2024-09-06 19:05:37,4658.76,Credit Card,ACC5805573562,Account-419
TXN0067,2024-09-11 05:49:37,173.04,Net Banking,ACC7718875285,Account-263
TXN0068,2024-09-21 08:25:37,4619.51,Debit Card,ACC7745872234,Account-156
TXN0069,2024-10-03 07:15:37,1449.62,UPI,ACC6172343829,Account-869
TXN0070,2024-09-12 20:48:37,3501.89,Credit Card,ACC8109601620,Account-662
TXN0071,2024-09-07 21:19:37,221.17,Net Banking,ACC8374171985,Account-836
TXN0072,2024-09-20 22:17:37,661.46,UPI,ACC1627524801,Account-916
TXN0073,2024-09-24 11:31:37,1853.54,Debit Card,ACC9146504950,Account-796
TXN0074,2024-10-02 01:42:37,2225.36,Bank Transfer,ACC3369606407,Account-627
TXN0075,2024-09-27 12:02:37,4674.2,Debit Card,ACC4356588007,Account-175
TXN0076,2024-09-22 04:21:37,3338.66,Net Banking,ACC8891878754,Account-686
TXN0077,2024-09-09 10:52:37,2376.26,UPI,ACC7617464381,Account-478
TXN0078,2024-09-07 11:32:37,2170.06,Credit Card,ACC7841925161,Account-442
TXN0079,2024-09-11 16:20:37,1683.44,Bank Transfer,ACC9500579319,Account-441
TXN0080,2024-09-20 11:50:37,71.55,Credit Card,ACC2493257692,Account-792
TXN0081,2024-09-16 04:33:37,3094.22,UPI,ACC6206910229,Account-340
TXN0082,2024-09-17 11:09:37,4823.98,UPI,ACC9803761584,Account-577
TXN0083,2024-09-29 09:13:37,1890.39,Bank Transfer,ACC5782784445,Account-677
TXN0084,2024-09-13 23:38:37,2550.58,UPI,ACC5183036938,Account-381
TXN0085,2024-09-15 18:29:37,1982.12,Net Banking,ACC5701158706,Account-345
TXN0086,2024-09-20 20:26:37,3157.61,Net Banking,ACC6037387203,Account-992
TXN0087,2024-09-14 18:24:37,1406.3,UPI,ACC2492750712,Account-758
TXN0088,2024-09-07 07:00:37,3885.0,Credit Card,ACC8749789409,Account-358
TXN0089,2024-10-02 14:10:37,3711.03,Debit Card,ACC7764303508,Account-812
TXN0090,2024-09-10 05:34:37,1780.36,Bank Transfer,ACC2556742404,Account-488
TXN0091,2024-09-03 10:20:37,391.44,Debit Card,ACC2265758175,Account-585
TXN0092,2024-09-10 19:23:37,3635.34,UPI,ACC5694535557,Account-446
TXN0093,2024-09-04 06:54:37,4004.96,Debit Card,ACC2561680538,Account-243
TXN0094,2024-09-14 02:37:37,4102.56,Credit Card,ACC7356447577,Account-247
TXN0095,2024-09-09 08:56:37,2356.57,UPI,ACC4132947599,Account-555
TXN0096,2024-10-01 17:40:37,1125.07,Net Banking,ACC3749216229,Account-845
TXN0097,2024-09-08 17:09:37,4391.32,Bank Transfer,ACC7884033077,Account-902
TXN0098,2024-09-05 13:41:37,135.14,Credit Card,ACC2217203274,Account-456
TXN0099,2024-09-20 03:40:37,182.12,UPI,ACC3367900648,Account-744
TXN0100,2024-09-12 11:42:37,714.33,Bank Transfer,ACC2530112420,Account-866
TXN0101,2024-09-21 21:15:37,4518.3,Debit Card,ACC8847701153,Account-328
TXN0102,2024-09-30 01:24:37,3835.25,Bank Transfer,ACC4596646990,Account-187
TXN0103,2024-09-28 01:42:37,2622.35,Debit Card,ACC2169031727,Account-264
TXN0104,2024-09-08 09:43:37,3650.74,Credit Card,ACC1933316537,Account-931
TXN0105,2024-10-03 05:26:37,1666.87,Net Banking,ACC4231774369,Account-741
TXN0106,2024-09-10 04:51:37,4376.18,Debit Card,ACC2248651329,Account-657
TXN0107,2024-09-05 23:03:37,1987.7,UPI,ACC4884488365,Account-455
TXN0108,2024-09-09 14:31:37,1366.51,UPI,ACC1421985765,Account-607
TXN0109,2024-09-20 06:36:37,4729.06,Net Banking,ACC4407844711,Account-743
